Sku,ExternalKey,MPN,Gtin,Name,ProductTypeDescription,Price DO,Price DD,UpdateUTC
V548260,V548260,548260,5705025482606,Vikan ErgoClean 548260 WET SCRUB mop 60cm grijs - 5 stuks,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V450052,V450052,450052,5705024500523,Vikan Transport bekledingborstel hard,SimpleProduct,Not Found,"€ 7,65","12/15/2025, 11:20 PM"
V4551,V4550,4551,5705022040014,Vikan Classic 4551 handveger zacht vezel 32cm grijs zwart,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V50515,V50515,50515,5705020505157,Vikan Hygiene 50515 toiletborstel,SimpleProduct,Not Found,"€ 35,47","12/15/2025, 11:20 PM"
V10185,V10185,10185,5705020101854,Vikan Hygiene 1018-1 ophangrek 4-6,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V70573,V70573,70573,5705022023994,Vikan 70573 handborstel met waterdoorvoer 330mm hard tbv Nito en Gardena,SimpleProduct,Not Found,"€ 18,94","12/15/2025, 11:20 PM"
V581618,V581618,581618,5705025816180,Vikan ErgoClean 581618 BOX 12 ltr los,SimpleProduct,Not Found,"€ 106,09","12/15/2025, 11:20 PM"
V56905,V56905,56905,5705020569050,Vikan 56905 Ultra Hygiene riek 127cm,SimpleProduct,Not Found,"€ 102,75","12/15/2025, 11:20 PM"
V56803,V56803,56803,5705020568039,Vikan Hygiene 5680-3 schepbak,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V53769,V53769,53769,5705020537691,Vikan Hygiene 5376-9 pijpenborstel Ã¸20x500mm,SimpleProduct,Not Found,"€ 7,37","12/15/2025, 11:20 PM"
V526852,V526852,526852,5705025268521,Vikan Transport wasborstel 24 cm verstelbare hoek,SimpleProduct,Not Found,"€ 55,94","12/15/2025, 11:20 PM"
V549610,V549610,549610,5705025496108,Vikan Damp 43 vlakmop 120cm klittenband,SimpleProduct,Not Found,"€ 28,85","12/15/2025, 11:20 PM"
V473952,V473952,473952,5705024739527,Vikan Transport 473952 raamwisser/spons,SimpleProduct,Not Found,"€ 23,11","12/15/2025, 11:20 PM"
V3151,V3151,3151,5705022029798,Vikan Classic 3151 veger zacht 29cm,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:21 PM"
V631216,V631216,631216,5705026312162,Vikan ErgoClean 631216 radiatorborstel,SimpleProduct,Not Found,"€ 8,34","12/15/2025, 11:20 PM"
V2979,V2979,2979,5705020029790,Vikan 2979 telescoopsteel Heavy Duty 2-6 mtr,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V29915Q,V29915Q,29915Q,5705020299100,Vikan Hygiene 29915Q steel 150cm waterdoorvoer,SimpleProduct,Not Found,"€ 38,41","12/15/2025, 11:21 PM"
V5525,V5525,5525,5705020055256,Vikan 5525 Schuurpad zacht,SimpleProduct,Not Found,"€ 175,51","12/15/2025, 11:21 PM"
V53635,V53635,53635,5705020536359,Vikan Hygiene 5363-5 pijpenborstel medium 9mm,SimpleProduct,Not Found,"€ 6,66","12/15/2025, 11:21 PM"
V581419,V581419,581419,5705025814193,Vikan Ergoclean 581419 deksel MOPBOX 60,SimpleProduct,Not Found,"€ 25,97","12/15/2025, 11:21 PM"
V4590,V4590,4590,5705020045905,Vikan Classic 4590 handveger zacht,SimpleProduct,Not Found,"€ 6,84","12/15/2025, 11:21 PM"
V47535,V47535,47535,5705020047534,Vikan schrobborstel hittebestendig hard 15cm,SimpleProduct,Not Found,"€ 40,18","12/15/2025, 11:21 PM"
